rowid;categoria;sku;marca;preco;img
1153;panificacao;828;Margarina Amélia uso geral 1kg;R$ 14;https://cdn.awsli.com.br/300x300/1284/1284671/produto/49765142/margar--amelia-uso-geral-s-sal-80----pct-1-01-kg-zxko0ik8tg.JPG
1154;panificacao;1516;Cobertura Gotas Top Meio Amargo Harald 2;05kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/138549624/336cb0fd36.jpg
1155;panificacao;1085;Creme Procreme Confeiteiro 1KG;R$ 12;https://cdn.awsli.com.br/300x300/1284/1284671/produto/112824890/e08add3f1b.jpg
1156;panificacao;424;Pão de Queijo 1 KG;R$ 15;https://cdn.awsli.com.br/300x300/1284/1284671/produto/88887413/a1439e9e38.jpg
1157;panificacao;589;Chocolate Nestlé Ao Leite 2;1kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/60730399/choc--nestle-ao-leite---2-1-kg-d8d4ta6sv6.JPG
1158;panificacao;1958;Gordura de Palma Tauá 24kg;R$ 343;https://cdn.awsli.com.br/300x300/1284/1284671/produto/56798008/08eed33070.jpg
1159;panificacao;1591;Chocolate em Pó 50% Duas Rodas Selecta Namur 1;01kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/56689321/c5ee8fcf11.jpg
1160;panificacao;937;Chocolate Gotas Chipshow Ao Leite Harald 2;5kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54351563/chipshow-harald-91g0ujlq7g.jpg
1161;panificacao;224;Margarina Amélia Bolos 1kg;R$ 15;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54301692/0c0979b45e.jpg
1162;panificacao;1756;Cacau em Pó Selecta 100% 1;01 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/165179777/cacau-po-selecta-100-101-kg-9b56367b17.jpg
1163;panificacao;1519;Nutella 3 KG;R$ 211;https://cdn.awsli.com.br/300x300/1284/1284671/produto/125372844/7fc1bb9f91.jpg
1164;panificacao;838;Papel Manteiga Pacote Com 400 Folhas;R$ 157;https://cdn.awsli.com.br/300x300/1284/1284671/produto/113897076/7996c517b5.jpg
1165;panificacao;87;Saco Confeiteiro Descartável Médio Pacote Com 50 Und;R$ 30;https://cdn.awsli.com.br/300x300/1284/1284671/produto/93876497/ef2e66cde9.jpg
1166;panificacao;1836;Forma Bolo Inglês Boreda Sem Tampa Caixa Com 100 UN;R$ 38;https://cdn.awsli.com.br/300x300/1284/1284671/produto/93874814/e8ed7adca3.jpg
1167;panificacao;833;Luva Térmica Longa 45 CM PAR;R$ 39;https://cdn.awsli.com.br/300x300/1284/1284671/produto/93874802/10062cc855.jpg
1168;panificacao;355;Calda Para Pudim 7 kg;R$ 98;https://cdn.awsli.com.br/300x300/1284/1284671/produto/90285724/047b826b08.jpg
1169;panificacao;169;Fondant Sicola 2kg;R$ 33;https://cdn.awsli.com.br/300x300/1284/1284671/produto/60797169/d4af3b1727.jpg
1170;panificacao;464;Gordura de Palma Tauá 14;5kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/56797549/taua-14-5kg-t4o524qx5g.jpg
1171;panificacao;1139;Goiabada Reymax Bloco 7kg;R$ 99;https://cdn.awsli.com.br/300x300/1284/1284671/produto/55364748/91ed88594b.jpg
1172;panificacao;106;Goiabada Reymax Cremosa 4;8kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/55331795/6ed69fa37b.jpg
1173;panificacao;114;Cereja Marraschino Curico Com Cabo 1;65kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54923105/893723787a.jpg
1174;panificacao;1152;Cereja Marraschino Curico Sem Cabo1;8kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54923038/eb12888e9d.jpg
1175;panificacao;220;Coco em Flocos Úmido e Adoçado Ameripan 2kg;R$ 98;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54922425/1aa20f96d1.jpg
1176;panificacao;429;Creme Confeiteiro Adimix 1kg;R$ 13;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54763515/7ec34a291c.jpg
1177;panificacao;2158;Cobertura Confeiteiro Fracionado Chocolate Meio Amargo 2;1kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54610070/bf8ccad5c5.jpg
1178;panificacao;928;Chocolate Raspar Castor Ao Leite 5Kg;R$ 100;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54397056/ddbdcf1a2a.jpg
1179;panificacao;780;Chocolate Raspar Harald Meio Amargo 5kg;R$ 105;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54396638/e15d1135e4.jpg
1180;panificacao;1028;Chocolate Raspar Harald Branco 5kg;R$ 112;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54395754/85f9074c63.jpg
1181;panificacao;782;Chocolate Raspar Harald Ao Leite 5kg;R$ 103;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54395661/db54f25319.jpg
1182;panificacao;1594;Chocolate Granulado Crocante Mavalério 1;05kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54305455/b501f6d207.jpg
1183;panificacao;1896;Creme de Confeiteiro Pronto Adimix 1kg;R$ 14;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54298878/1f7a229c73.jpg
1184;panificacao;483;Unta Forma Adimix 5L;R$ 85;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54298561/7fd8380b61.jpg
1185;panificacao;958;Fermento Químico 1 Kg;R$ 27;https://cdn.awsli.com.br/300x300/1284/1284671/produto/49765146/830808d5f5.jpg
1186;panificacao;408;Margarina Coamo 80% Sem Sal 14;5 kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/49765143/a50fe1a2d3.jpg
1187;panificacao;2114;Unta Forma Aerosol Adimix 600 Ml;R$ 39;https://cdn.awsli.com.br/300x300/1284/1284671/produto/49765140/ef11e048bf.jpg
1188;panificacao;425;Gran Mix Super 2kg;R$ 28;https://cdn.awsli.com.br/300x300/1284/1284671/produto/49763355/8e3581eefc.jpg
1189;panificacao;1787;Chipa 2kg;R$ 35;https://cdn.awsli.com.br/300x300/1284/1284671/produto/49763353/ce45261816.jpg
1190;panificacao;1997;Pão Francês Integral 5kg;R$ 92;https://cdn.awsli.com.br/300x300/1284/1284671/produto/49763350/875ba0101c.jpg
1191;panificacao;1777;Pão De Batata 5kg;R$ 84;https://cdn.awsli.com.br/300x300/1284/1284671/produto/49763349/1db7f82cfc.jpg
1192;panificacao;1230;Pão De Mandioquinha 2kg;R$ 44;https://cdn.awsli.com.br/300x300/1284/1284671/produto/49763348/9efe71c480.jpg
1193;panificacao;2415;Biscoito Granulado Gotas Chocolate 1kg;R$ 27;https://cdn.awsli.com.br/300x300/1284/1284671/produto/319769192/vabene-biscoito-cookies-chocolate-granulado-1kg-8ujvoxzhrx.jpg
1194;panificacao;357;Cacau em Pó Vermelho MARQUISE CARGILL 2 KG;R$ 161;https://cdn.awsli.com.br/300x300/1284/1284671/produto/319769174/cacau-em-p--vermelho-2kg-tbymxxwhqk.jpg
1195;panificacao;356;Cacau em Pó Vermelho MARQUISE CARGILL  25 KG;R$ 2.254;https://cdn.awsli.com.br/300x300/1284/1284671/produto/319769156/cacau-p--vermelho-marquise-ozfyqttkt5.jpg
1196;panificacao;2409;Batata Desidratada em Flocos Nutrimax 1 kg;R$ 31;https://cdn.awsli.com.br/300x300/1284/1284671/produto/319618861/batata-p7jd22udr9.JPG
1197;panificacao;2830;Chocolate em Pó Nutrimax 50% 1;01KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/319545132/chocolate-em-po-nutrimax-50-101kg-1-aspect-ratio-800-800-ydg2m8dk3r.jpg
1198;panificacao;1595;Saco Confeiteiro Descartável Grande Pacote Com 50 Und;R$ 38;https://cdn.awsli.com.br/300x300/1284/1284671/produto/278404737/saco-confeiteiro-pcu79e8ond.jpg
1199;panificacao;1711;Cobertura Gotas Genuine Ao Leite Cargill 2;05KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/237530926/choc--gotas--moeda--ao-leite-genuine-top--cargill--2-05kg-jud5j5w3nu.JPG
1200;panificacao;2455;Nesquik em pó Sabor Morango 380G;R$ 15;https://cdn.awsli.com.br/300x300/1284/1284671/produto/226902424/nesquik-em-po-nestle---lt-380g-k937hg5b01.JPG
1201;panificacao;2454;Nescau em pó Nestlé 1;02 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/226902421/nescau-em-po-nestle---pct-1-02-kg-43w9grjvx8.jpg
1202;panificacao;2450;Chocolate Recheio Macio Lollo Caixa com 30 und x 28g;R$ 84;https://cdn.awsli.com.br/300x300/1284/1284671/produto/226902416/lolo-j45qcisvmk.JPG
1203;panificacao;2447;Chocolate KITKAT Fingers ao Leite caixa com 24 und x 41;5g;https://cdn.awsli.com.br/300x300/1284/1284671/produto/226902411/kit-kat-caixa-k9rk3pfuin.JPG
1204;panificacao;2445;Chocolate Baton Ao Leite Garoto Caixa com 30 und x 16gr;R$ 45;https://cdn.awsli.com.br/300x300/1284/1284671/produto/226902407/baton-bfznafkc9s.JPG
1205;panificacao;2444;Chocolate Baton Branco Garoto Caixa com 30 und x 16g;R$ 41;https://cdn.awsli.com.br/300x300/1284/1284671/produto/226902405/baton-branco-sv0yykj59o.JPG
1206;panificacao;2004;Leite em Pó Modificado Purelac Pró Panificação 1 KG;R$ 21;https://cdn.awsli.com.br/300x300/1284/1284671/produto/171999322/9327823f07.jpg
1207;panificacao;2003;Leite em Pó Modificado Purelac Pró Culinário 1 KG;R$ 26;https://cdn.awsli.com.br/300x300/1284/1284671/produto/171999319/6bb0f6712a.jpg
1208;panificacao;1946;Cobertura e recheio Chocolate Xamego Bom 2 KG;R$ 50;https://cdn.awsli.com.br/300x300/1284/1284671/produto/166798166/7ea174339e.jpg
1209;panificacao;1921;Unta Forma Lisse 5 L;R$ 83;https://cdn.awsli.com.br/300x300/1284/1284671/produto/165182235/97f238eb49.jpg
1210;panificacao;1656;Unta Forma com Cera de Abelha Lisse 5 L;R$ 177;https://cdn.awsli.com.br/300x300/1284/1284671/produto/165182173/def2f53ab9.jpg
1211;panificacao;1633;Gordura Sebella FRY 14;5 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/159023333/f24767a911.jpg
1212;panificacao;1460;Cobertura Gotas Top Blend Harald 2;05kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/138549636/7392039208.jpg
1213;panificacao;1514;Cobertura Gotas Top Ao Leite Harald 2;05kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/138549620/63ef10630c.jpg
1214;panificacao;1458;Cobertura Gotas Top Branco Harald 2;05Kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/138549615/5701099c60.jpg
1215;panificacao;832;Fecho Plástico 1 KG;R$ 33;https://cdn.awsli.com.br/300x300/1284/1284671/produto/125195505/ce4ac6809e.jpg
1216;panificacao;1886;Pão Massas Macias 15 KG;R$ 318;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115694824/cc6bcaef77.jpg
1217;panificacao;2032;Sonho 2 KG;R$ 26;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115694721/7c7e153498.jpg
1218;panificacao;370;Polvilho Azedo Ouro Minas 25 KG;R$ 210;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114587430/bd264c5918.jpg
1219;panificacao;68;Corante Líquido Amarelo Gema Arcolor 960 ML;R$ 17;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114090869/3ffeb4f20e.jpg
1220;panificacao;1387;Fermento Seco Instantâneo Magest Massa Doce 500 G;R$ 15;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114090853/16227c8903.jpg
1221;panificacao;2146;Propionato de Cálcio 1 KG;R$ 22;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114053202/b15e43ed7d.jpg
1222;panificacao;849;Bicarbonato de Amônia 1 KG;R$ 29;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114053190/98185f2e9e.jpg
1223;panificacao;344;Propionato de Sódio 1 KG;R$ 99;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114053181/632ecd175f.jpg
1224;panificacao;190;Sorbato de Potássio 1 KG;R$ 99;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114053147/0f8e684031.jpg
1225;panificacao;776;Essência Manteiga Arcolor 960 ML;R$ 24;https://cdn.awsli.com.br/300x300/1284/1284671/produto/113897153/60ffcf4c25.jpg
1226;panificacao;773;Essência Laranja Arcolor 960 ML;R$ 45;https://cdn.awsli.com.br/300x300/1284/1284671/produto/113897134/925c271b63.jpg
1227;panificacao;771;Essência Limão Arcolor 960 ML;R$ 57;https://cdn.awsli.com.br/300x300/1284/1284671/produto/113897127/fe3d488f4b.jpg
1228;panificacao;768;Essência Baunilha Arcolor 960 ML;R$ 14;https://cdn.awsli.com.br/300x300/1284/1284671/produto/113897099/4b3638d5be.jpg
1229;panificacao;352;Essência Milho Verde Arcolor 960 ML;R$ 33;https://cdn.awsli.com.br/300x300/1284/1284671/produto/113897092/fbf4bbb051.jpg
1230;panificacao;770;Essência Abacaxi Arcolor 960 ML;R$ 29;https://cdn.awsli.com.br/300x300/1284/1284671/produto/113897081/5729e9bb67.jpg
1231;panificacao;1380;Gergelim Pacote 4 KG;R$ 96;https://cdn.awsli.com.br/300x300/1284/1284671/produto/113888792/93fac6b103.jpg
1232;panificacao;1383;Goiabada Ralston Cremosa 4;6KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/112846690/9d60814042.jpg
1233;panificacao;1117;Calda para Pudim 7 KG;R$ 76;https://cdn.awsli.com.br/300x300/1284/1284671/produto/112825108/89c90d14c8.jpg
1234;panificacao;1116;Pão de Queijo 1KG;R$ 15;https://cdn.awsli.com.br/300x300/1284/1284671/produto/112825091/ea3c30e56d.jpg
1235;panificacao;1049;Creme Confeiteiro Procreme a Frio Instantâneo 1KG;R$ 18;https://cdn.awsli.com.br/300x300/1284/1284671/produto/112824833/4b83c0bbe0.jpg
1236;panificacao;1301;Coco Flocos Queimado Adelcoco 1 kg;R$ 50;https://cdn.awsli.com.br/300x300/1284/1284671/produto/111328743/70a5c75fc9.jpg
1237;panificacao;1053;Coco Ralado Ameripan Médio 10 KG;R$ 315;https://cdn.awsli.com.br/300x300/1284/1284671/produto/111328729/f55076d510.jpg
1238;panificacao;945;Coco Ralado Ameripan Fino 5 KG;R$ 120;https://cdn.awsli.com.br/300x300/1284/1284671/produto/111328718/cebff16d28.jpg
1239;panificacao;944;Coco em Flocos Úmido E Adoçado Adelcoco 5kg;R$ 210;https://cdn.awsli.com.br/300x300/1284/1284671/produto/111328700/99b1d98b4b.jpg
1240;panificacao;218;Coco Ralado Ameripan Fino 10 KG;R$ 234;https://cdn.awsli.com.br/300x300/1284/1284671/produto/111328676/coco-ameripan-ijku6t3myr.jpg
1241;panificacao;1080;Creme Culinário Rich's 1kg;R$ 12;https://cdn.awsli.com.br/300x300/1284/1284671/produto/111290820/54fbcbc4b8.jpg
1242;panificacao;245;Forma de Panetone de  500 G  Com 100 Unidades;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/90124812/9028f1f1c3.jpg
1243;panificacao;1697;Frutas Cristalizada 1KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/182860077/ae2c916766.jpg
1244;panificacao;1518;Chocolate Gotas Melken Branco Harald 2;05 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/138549633/72a4bc96c5.jpg
1245;panificacao;1008;Mistura Panetone Em Pó Com Gemas 20 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/129293965/f2253090c5.jpg
1246;panificacao;1084;Panetone Pasta Com Gema 11 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/112824873/3eed44bf2b.jpg
1247;panificacao;667;Chocolate Genuine Cargill Branco 2;1kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57130639/58c2836d12.jpg
1248;panificacao;1162;Chocolate Sicao Gold Meio Amargo 2;1kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/94865191/58fa7f1a03.jpg
1249;panificacao;1160;Chocolate Sicao Gold Branco 2;1kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/94865173/8ab8e9aa11.jpg
1250;panificacao;835;Luva Térmica Curta 35 CM PAR;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/93874807/ee2cec691d.jpg
1251;panificacao;1142;Chocolate Sicao Gold Blend 2;1kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/91346016/1976191ab1.jpg
1252;panificacao;1141;Chocolate Sicao Gold ao Leite 2;1kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/91342665/e7d3b4e645.jpg
1253;panificacao;66;Chocolate Granulado Mácio MIX;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/88871373/fc523cfc35.jpg
1254;panificacao;590;Chocolate Nestlé Branco Marfim 2;1kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/60730793/choc--nestle-branco-marfim---2-1-kg-r344nwvvm7.JPG
1255;panificacao;633;Chocolate Nestlé Blend 2;1kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/60730675/choc--nestle-blend---2-1-kg-8kde8is0ss.JPG
1256;panificacao;428;Pão Brioche 10kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/60689525/8c80e30e6d.jpg
1257;panificacao;1146;Melhorador Levapan 2;5kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/60515642/529a2c220b.jpg
1258;panificacao;657;Chocolate Genuine Cargill Meio Amargo 2;1kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57130712/17d484c08d.jpg
1259;panificacao;666;Chocolate Genuine Cargill Blend 2;1kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57130599/7f68618139.jpg
1260;panificacao;664;Chocolate Genuine Cargill Ao Leite 2;1kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57130490/1d93239057.jpg
1261;panificacao;120;Gordura Vegetal Hidrogenada Mesa CX 12x500Gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/56718574/100ca0566a.jpg
1262;panificacao;902;Creme Culinário Ourolac 1kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/56399757/58bf8c3cdb.jpg
1263;panificacao;1407;Cobertura Confeiteiro Fracionado Chocolate Branco 2;1kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54609587/d0d67904ef.jpg
1264;panificacao;2149;Cobertura Confeiteiro Fracionado Chocolate Ao Leite 2;1kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54609513/53cca0edcd.jpg
1265;panificacao;2054;Chocolate Inovare Melken Ao Leite 2;1Kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54352675/b1aa9ad68b.jpg
1266;panificacao;1541;Chocolate em Pó 33% Cacau Melken 1;05kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54350326/29725a232d.jpg
1267;panificacao;486;Margarina Amélia 80% 15Kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54302644/654eb8a3c0.jpg
1268;panificacao;582;Margarina Amélia 50% 15kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54302116/0b4a5484a0.jpg
1269;panificacao;223;Margarina Amélia Folhados 1kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54301959/6e03fec1c6.jpg
1270;panificacao;1166;Gordura Coamo fry 600 14;5kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54256405/867d9fbb2a.jpg
1271;panificacao;761;Pão Italiano 10kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/49765148/6e5ab42668.jpg
1272;panificacao;421;Melhorador adiplus 20kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/49765144/c2b6d3d85d.jpg
1273;panificacao;1007;Biscoito De Polvilho 4kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/49763352/9fa33c2151.jpg
1274;panificacao;441;Pão Leve Integral 10 kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/49763351/3a0aab7412.jpg
1275;panificacao;2180;Pão De Milho 10kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/49763346/119b51c067.jpg
1276;panificacao;940;Pão Australiano 10kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/49763344/6bfc133f86.jpg
1277;panificacao;2775;Chocolate Gotas Ao Leite Inovare Melken 2;05 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/319615171/choc--gotas--moeda--ao-leite-inovare-melken---2-05-kg-7cwi0prz6i.jpg
1278;panificacao;2811;Chocolates Gotas Meio Amargo Inovare Melken 2;05 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/319615169/inovare-intenso-ab3c2bvjye.jpg
1279;panificacao;2583;Leite em Pó Integral Conaprole 25KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/275855023/leite-po-integral-conaprole-25kg-ht0esx0odf.jpg
1280;panificacao;2042;Amido de Milho BV Foods 25 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/261702667/amido-de-milho-jmlbclmbtf.jpg
1281;panificacao;1717;Cobertura Gotas Genuine Meio Amargo Cargill 2;05KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/238371167/choc--gotas--moeda--m--amargo-genuine-top--cargill--2-05kg-9ohcvy8zla.JPG
1282;panificacao;2529;Óleo de Algodão Liza Balde 14;5kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/238354660/oleo-de-algodao-liza-bd-14-5kg-7qfpf4u7fn.jpg
1283;panificacao;2516;Cobertura Mais Sicao Branco Gotas 2;05KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/237530939/choc--gotas--moeda--branco-sicao-top---2-05-kg-u25kzlf55v.JPG
1284;panificacao;2515;Cobertura Mais Sicao Blend Gotas 2;05KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/237530938/choc--gotas--moeda--blend-sicao-top---2-05-kg-qm3gc2ylai.JPG
1285;panificacao;2514;Cobertura Mais Sicao Ao Leite Gotas 2;05KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/237530935/choc--gotas--moeda--ao-leite-sicao-top---2-05-kg-55tdb1mdw6.JPG
1286;panificacao;2513;Cobertura Mais Sicao Meio Amargo Gotas 2;05KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/237530934/choc--gotas--moeda--meio-amargo-sicao-top---2-05-kg-902lg4ghwf.JPG
1287;panificacao;2512;Chocolate Nobre Sicao Blend Gotas 2;05 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/237530933/choc--gotas--moeda--blend-sicao-nobre---2-05-kg-r6e04gjezm.JPG
1288;panificacao;2511;Chocolate Nobre Sicao Ao Leite Gotas 2;05 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/237530932/choc--gotas--moeda--ao-leite-sicao-nobre---2-05-kg-4rjznd8rh9.JPG
1289;panificacao;2506;Chocolate Genuine Gotas Branco Cargill 2;05KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/237530931/choc--gotas--moeda--branco-genuine-nobre--cargill--2-05kg-hu6bwyoh91.JPG
1290;panificacao;2505;Chocolate Genuine Gotas Meio Amargo Cargill 2;05KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/237530930/choc--gotas--moeda--m--amargo-genuine-nobre--cargill--2-05kg-lfcs77efdp.JPG
1291;panificacao;2504;Chocolate Genuine Gotas Ao Leite Cargill 2;05KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/237530929/choc--gotas--moeda--ao-leite-genuine-nobre--cargill--2-05kg-6h3dmdt51u.JPG
1292;panificacao;1712;Cobertura Gotas Genuine Branco Cargill 2;05KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/237530927/choc--gotas--moeda--branco-genuine-top--cargill--2-05kg-7l25uxomry.JPG
1293;panificacao;2288;Gordura de Palma Palm Ice 35 20 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/228933821/gord--de-palma---palm-ice-35---cx-20-kg-t8ppqn7hsy.jpg
1294;panificacao;2449;Chocolate Prestígio Display Caixa com 30 und x 33G;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/226902413/prestigio-pz6phzzfhi.JPG
1295;panificacao;2448;Chocolate Chokito Caixa com 30 x 32gr - Nestlé;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/226902412/chokito-guc223zds0.JPG
1296;panificacao;2446;Chocolate Suflair ao Leite Caixa com 20 und x 50g;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/226902409/suflair-wvb494lz1a.jpg
1297;panificacao;2252;Chocolate em Pó Decora 32% 1;005 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/200472890/tmpchocempdecora32-845d434c3f.jpg
1298;panificacao;2111;Chocolate em Pó Decora 50% 1;005KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/200472872/tmpchocempdecora50-c8945bf374.jpg
1299;panificacao;2065;Fermento em pó Star Bake (LEVAPAN) 1 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/199337637/tmpfermentoempstarbake-c0ceaddd71.jpg
1300;panificacao;978;Ácido Cítrico Indemil 1 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/192634773/243278c9b3.jpg
1301;panificacao;1052;Coco Ralado Copra Fino 10 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/187881894/5bd8581173.jpg
1302;panificacao;1927;Pão Massas Macias 10 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/165182259/aea0fb6515.jpg
1303;panificacao;1926;Pão de Queijo 1 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/165182253/ccf2444566.jpg
1304;panificacao;1916;Calda Para Pudim Lisse 5 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/165179908/d89dbfe8e3.jpg
1305;panificacao;1452;Mistura Bolo Milho Cremoso 5 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/163752009/bc9f162826.jpg
1306;panificacao;1443;Mistura Bolo Aipim Cremoso 5 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/163741313/58e21609bf.jpg
1307;panificacao;1629;Margarina Sina 80% Sem Sal 15 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/163735106/cc323d762f.jpg
1308;panificacao;1880;Cobertura ao Leite Sicao Chips 2;5 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/163721904/09f98bdf68.jpg
1309;panificacao;219;Coco Ralado Copra Médio 10 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/163526923/db118b2ca7.jpg
1310;panificacao;1710;Chocolate Gotas Mavalério Chips  2;5 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/159058670/8d5061b9c9.jpg
1311;panificacao;1754;Fermento em Pó Duas Rodas 1 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/159058653/dc0c7f5bc8.jpg
1312;panificacao;51;Panetone Pasta com Gemas Adimix 10 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/129130034/236d6e5d61.jpg
1313;panificacao;125;Espátula de Bolo Inox 25 CM;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/126846522/e91c91cec2.jpg
1314;panificacao;469;Pão Light Multicereais 10 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115694682/745b4e0c6a.jpg
1315;panificacao;2174;Pão Leve Aveia 10 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115670877/cb43b29b0f.jpg
